⺀	⿱丶丶
狇	⿰犭木
狈	⿰犭贝
狉	⿰犭⿱不一
狊	⿱目犬
狋	⿰犭示
狌	⿰犭生
狍	⿰犭⿱勹巳
狎	⿰犭甲
狏	⿰犭⿱𠂉也
狐	⿰犭瓜
狑	⿰犭⿱⿱𠆢丶龴
狒	⿰犭弗
狓	⿰犭皮
狔	⿰犭⿸尸匕
狕	⿰犭⿰幺力
狖	⿰犭穴
狗	⿰犭⿹勹口
狘	⿰犭戉
狙	⿰犭且
狚	⿰犭⿱日一
狛	⿰犭白
狜	⿰犭⿱十口
狝	⿰犭尔
狞	⿰犭⿱宀丁
狟	⿰犭亘
狠	⿰犭艮
狡	⿰犭⿱亠父
狢	⿰犭⿱夂口
狣	⿰犭兆
狤	⿰犭⿱士口
狥	⿰犭⿹勹日
狦	⿰犭𠕋
狧	⿰犭舌
狨	⿰犭⿹戈𠂇
狩	⿰犭⿱宀寸
狪	⿰犭⿵⿵冂一口
狫	⿰犭老
独	⿰犭虫
狭	⿰犭夹
狮	⿰犭⿰帀
狯	⿰犭⿱𠆢云
狰	⿰犭争
狱	⿴⿰犭犬讠
狲	⿰犭⿰子小
狳	⿰犭⿱亼朩
狴	⿰犭⿱比土
狵	⿰犭⿺⿺尢彡丶
狶	⿰犭⿱乂⿸𠂇巾
狷	⿰犭肙
狸	⿰犭里
狹	⿰犭夾
狺	⿰犭言
狻	⿰犭夋
狼	⿰犭良
狽	⿰犭貝
狾	⿰犭⿰扌斤
狿	⿰犭⿺廴⿱丿止
猀	⿰犭⿰氵少
猁	⿰犭⿰禾刂
猂	⿰犭⿱日干
猃	⿰犭⿳亼𭕄一
猄	⿰犭⿳亠口小
猅	⿰犭非
猆	⿱非犬
猇	⿰犭虎
猈	⿰犭卑
猉	⿰犭其
猊	⿰犭⿱臼儿
猋	⿱犬⿰犬犬
猌	⿰來犬
猍	⿰犭來
猎	⿰犭⿱龷日
猏	⿰犭⿸户月
猐	羌
猑	⿰犭⿱日比
猒	⿰⿱日月犬
猓	⿰犭果
猔	⿰犭⿱宀示
猕	⿰犭⿰弓尔
猖	⿰犭⿱日日
猗	⿰犭⿱大⿹丅口
猘	⿰犭⿰刂
猙	⿰犭爭
猚	⿰犭隹
猛	⿰犭⿱子皿
猜	⿰犭青
猝	⿰犭⿱亦十
猞	⿰犭⿱𠆢舌
猟	⿰犭鼡
猠	⿰犭典
猡	⿰犭⿱罒夕
猢	⿰犭⿰⿱十口月
猣	⿰犭⿱⿱⿶凵㐅儿夂
猤	⿰犭癸
猥	⿰犭⿳田一
猦	⿰犭風
猧	⿰犭咼
猨	⿰犭⿳爫一⿸𠂇又
猩	⿰犭⿱日生
猪	⿰犭⿸耂日
猫	⿰犭⿱艹田
猬	⿰犭⿱田月
猭	⿰犭彖
献	⿰南犬
猯	⿰犭⿱山而
猰	⿰犭⿱⿰龶刀大
猱	⿰犭⿱矛木
猲	⿰犭曷
猳	⿰犭叚
猴	⿰犭⿰亻⿱矢
猵	⿰犭⿸户𠕁
猶	⿰犭酋
猷	⿰酋犬
猸	⿰犭⿸𠃜目
猹	⿰犭⿱木⿱日一
猺	⿰犭⿱爫缶
猻	⿰犭⿰子系
猼	⿰犭尃
猽	⿰犭⿱冖⿱日六
猾	⿰犭骨
猿	⿰犭⿱⿱土口𧘇
獀	⿰犭⿶⿱臼又丨
獁	⿰犭馬
獂	⿰犭⿸厂⿱白小
獃	⿰⿱止豆犬
獄	⿰⿰犭言犬
獅	⿰犭⿰𠂤帀
獆	⿰犭皋
獇	⿰犭⿷羌厶
獈	⿰犭⿳丷兀皿
獉	⿰犭⿱𡗗禾
獊	⿰犭⿱⿱𠆢丶⿸口
獋	⿰犭⿱自⿻氺一
獌	⿰犭⿳日罒又
獍	⿰犭⿱音儿
獎	⿱⿰爿⿱爫寸犬
獏	⿰犭⿱艹⿱日大
獐	⿰犭⿱立⿱日十
獑	⿰犭⿰車斤
獒	⿱⿰⿱龶勹攵犬
獓	⿰犭⿰⿱龶勹攵
獔	⿰犭皋
獕	⿰犭⿱山隹
獖	⿰犭⿱卅貝
獗	⿰犭⿸厂⿰屰欠
獘	⿱⿰㡀攵犬
獙	⿰犭⿰㡀攵
獚	⿰犭黄
獛	⿰犭菐
獜	⿰犭粦
獝	⿰犭⿱矛冏
獞	⿰犭⿱立里
獟	⿰犭⿱⿱土⿰土土兀
獠	⿰犭尞
獡	⿰犭⿱臼
獢	⿰犭⿱⿱夭口冋
獣	⿰⿱⿱𭕄田⿱一口犬
獤	⿰犭⿰⿱亠⿱口子攵
獥	⿰犭⿰⿱白方攵
獦	⿰犭⿱艹曷
獧	⿰犭睘
獨	⿰犭⿱罒⿹勹虫
獩	⿰犭⿵⿱止⿵戌小丿
獪	⿰犭⿱亼⿱日
獫	⿰犭⿳亼吅从
獬	⿰犭⿰角⿱刀牛
獭	⿰犭⿰束⿱𠂊贝
獮	⿰犭爾
獯	⿰犭熏
獰	⿰犭⿱⿱宀心⿱罒丁
獱	⿰犭⿱⿱宀一⿸𣥂貝
獲	⿰犭⿱⿱艹隹又
獳	⿰犭⿱雨而
獴	⿰犭⿱艹⿳冖一豕
獵	⿰犭巤
獶	⿰犭⿱⿱心夂
獷	⿰犭⿸广黄
獸	⿰嘼犬
獹	⿰犭⿸⿸虍田皿
獺	⿰犭⿰束⿱𠂊貝
獻	⿰⿸虍鬲犬
獼	⿰犭⿰弓爾
獽	⿰犭⿳亠⿱吅⿻龷一𧘇
獾	⿰犭雚
獿	⿰犭⿳一⿲止自巳⿱八夂
玀	⿰犭⿱罒⿰糹隹
玁	⿰犭⿱吅⿸厂⿹⿰工攵𤮺
玂	⿰犭⿱艹⿰⿱吅⿻甲一斤
玃	⿰犭⿱⿱⿰目目隹又
玅	⿰玄少
玆	⿰玄玄
玈	⿰玄⿱𠂉
玊	⿷王丶
玌	⿰𤣩乚
玎	⿰𤣩丁
玏	⿰𤣩力
玐	⿰𤣩八
玑	⿰𤣩几
玒	⿰𤣩工
玓	⿰𤣩勺
玔	⿰𤣩川
玕	⿰𤣩干
玖	⿰𤣩久
玗	⿰𤣩于
玘	⿰𤣩己
玙	⿰𤣩与
玚	⿰𤣩𠃓
玛	⿰𤣩马
玜	⿰𤣩公
玝	⿰𤣩午
玞	⿰𤣩夫
玟	⿰𤣩文
玠	⿰𤣩⿱𠆢⿰丿丨
玡	⿰𤣩牙
玢	⿰𤣩⿱八刀
玣	⿰𤣩卞
玤	⿰𤣩丰
玥	⿰𤣩月
玦	⿰𤣩夬
玧	⿰𤣩允
玨	⿰𤣩王
玩	⿰𤣩元
玪	⿰𤣩⿱⿱𠆢丶乛
玫	⿰𤣩攵
玬	⿰𤣩丹
玭	⿰𤣩比
玮	⿰𤣩韦
环	⿰𤣩不
现	⿰𤣩见
玱	⿰𤣩⿱𠆢㔾
玲	⿰𤣩⿱⿱𠆢丶龴
玳	⿰𤣩⿰亻弋
玴	⿰𤣩世
玵	⿰𤣩甘
玶	⿰𤣩平
玸	⿰𤣩⿱勹巳
玹	⿰𤣩玄
玺	⿱尔玉
玻	⿰𤣩皮
玼	⿰𤣩⿰止匕
玽	⿰𤣩⿹勹口
玾	⿰𤣩甲
玿	⿰𤣩⿱刀口
珀	⿰𤣩白
珁	⿰𤣩瓦
珂	⿰𤣩⿹丅口
珃	⿰𤣩冉
珄	⿰𤣩生
珅	⿰𤣩申
珆	⿰𤣩⿱厶口
珇	⿰𤣩且
珈	⿰𤣩⿰力口
珉	⿰𤣩民
珊	⿰𤣩册
珋	⿰𤣩卯
珌	⿰𤣩必
珍	⿰𤣩㐱
珎	⿰𤣩尔
珏	⿰𤣩玉
珐	⿰𤣩⿱土厶
珑	⿰𤣩龙
珒	⿰𤣩聿
珓	⿰𤣩⿱亠父
珔	⿰𤣩⿸子
珕	⿰𤣩⿱力⿰力力
珗	⿰𤣩先
珘	⿰𤣩舟
珙	⿰𤣩⿱龷八
珚	⿰𤣩⿴囗大
珛	⿰𤣩⿸𠂇月
珜	⿰𤣩羊
珝	⿰𤣩羽
珞	⿰𤣩⿱夂口
珟	⿰𤣩⿵几歹
珠	⿰𤣩朱
珡	⿱⿰𤣩王人
珢	⿰𤣩艮
珣	⿰𤣩⿹勹日
珤	⿰𤣩缶
珥	⿰𤣩耳
珦	⿰𤣩⿵⿱丿冂口
珧	⿰𤣩兆
珨	⿰𤣩⿱亼口
珩	⿰𤣩行
珪	⿰𤣩⿱土土
珫	⿰𤣩⿱𠫓儿
珬	⿰𤣩戌
班	⿲𤣩王
珮	⿰𤣩⿵𠘨帀
珯	⿰𤣩老
珱	⿰𤣩⿱𭕄女
珲	⿰𤣩⿱冖车
珳	⿰𤣩⿺文彡
珴	⿰𤣩我
珵	⿰𤣩⿱口王
珶	⿰𤣩弟
珷	⿰𤣩⿹止
珸	⿰𤣩⿱五口
珹	⿰𤣩成
珺	⿰𤣩⿸尹口
珻	⿰𤣩⿱𠂉母
珼	⿰𤣩貝
珽	⿰𤣩⿺廴⿱丿土
現	⿰𤣩見
珿	⿰𤣩足
琀	⿰𤣩⿱⿱⿱𠆢丶乛口
琁	⿰𤣩⿱𠂉疋
琂	⿰𤣩言
球	⿰𤣩求
琄	⿰𤣩肙
琅	⿰𤣩良
理	⿰𤣩里
琇	⿰𤣩⿱禾乃
琈	⿰𤣩⿱爫子
琉	⿰𤣩⿱𠫓川
琊	⿰𤣩⿰牙阝
琋	⿰𤣩⿱乂⿸𠂇巾
琌	⿰𤣩⿱山⿱⿱𠆢丶乛
琍	⿰𤣩⿰禾刂
琎	⿰𤣩⿺辶井
琏	⿰𤣩⿺辶车
琑	⿰𤣩⿵⿱小⿵冂一一
琒	⿰𤣩夆
琓	⿰𤣩⿱宀元
琔	⿰𤣩⿱宀𤴓
琕	⿰𤣩卑
琖	⿰𤣩⿱戈戈
琗	⿰𤣩⿱亦十
琘	⿰𤣩⿱氏日
琙	⿰𤣩⿹⿹戈口一
琚	⿰𤣩⿸尸⿱十口
琛	⿰𤣩⿱㓁木
琜	⿰𤣩來
琝	⿰𤣩⿱日文
琞	⿱⿰日月玉
琟	⿰𤣩隹
琠	⿰𤣩典
琡	⿰𤣩⿰⿱上小又
琢	⿰𤣩豖
琣	⿰𤣩咅
琤	⿰𤣩争
琥	⿰𤣩虎
琦	⿰𤣩⿱大⿹丅口
琧	⿱亞玉
琨	⿰𤣩⿱日比
琩	⿰𤣩⿱日日
琪	⿰𤣩其
琫	⿰𤣩⿱𡗗⿻二丨
琬	⿰𤣩⿱宀夗
琭	⿰𤣩⿱彐氺
琮	⿰𤣩⿱宀示
琯	⿰𤣩⿱宀㠯
琰	⿰𤣩⿱火火
琱	⿰𤣩⿵用口
琲	⿰𤣩非
琳	⿰𤣩⿰木木
琴	⿱⿰𤣩王⿱⿱𠆢丶乛
琵	⿱⿰𤣩王比
琶	⿱⿰𤣩王巴
琷	⿰𤣩羌
琹	⿱⿰𤣩王木
琺	⿰𤣩⿰氵⿱土厶
琻	⿰𤣩金
琼	⿰𤣩⿳亠口小
琽	⿰𤣩⿸耂日
琾	⿰𤣩⿱田⿱𠆢⿰丿丨
琿	⿰𤣩⿱冖車
瑀	⿰𤣩禹
瑁	⿰𤣩⿱日目
瑂	⿰𤣩⿸𠃜目
瑃	⿰𤣩⿱𡗗日
瑄	⿰𤣩⿱宀亘
瑅	⿰𤣩⿱日𤴓
瑆	⿰𤣩⿱日生
瑇	⿰𤣩⿱龶母
瑈	⿰𤣩⿱矛木
瑉	⿰𤣩⿱民日
瑊	⿰𤣩⿵戌口
瑋	⿰𤣩韋
瑌	⿰𤣩⿱而大
瑎	⿰𤣩⿱比白
瑏	⿰𤣩⿱穴牙
瑐	⿰𤣩⿱䒑⿰月刂
瑑	⿰𤣩彖
瑒	⿰𤣩昜
瑓	⿰𤣩柬
瑔	⿰𤣩⿱白水
瑕	⿰𤣩叚
瑖	⿰𤣩⿰殳
瑗	⿰𤣩⿳爫一⿸𠂇又
瑘	⿰𤣩⿰耳阝
瑙	⿰𤣩⿱巛囟
瑚	⿰𤣩⿰⿱十口月
瑛	⿰𤣩⿱艹央
瑜	⿰𤣩⿱亼⿰月刂
瑝	⿰𤣩⿱白王
瑞	⿰𤣩⿱山而
瑟	⿱⿰𤣩王必
瑠	⿰𤣩⿱田
瑡	⿰𤣩⿰𠂤帀
瑢	⿰𤣩⿱宀谷
瑣	⿰𤣩⿱小貝
瑤	⿰𤣩⿱爫缶
瑥	⿰𤣩昷
瑦	⿰𤣩⿹灬
瑧	⿰𤣩⿱𡗗禾
瑨	⿰𤣩⿱亚日
瑩	⿱⿱⿰火火冖玉
瑪	⿰𤣩馬
瑫	⿰𤣩⿱爫臼
瑬	⿱⿰氵⿱𠫓川玉
瑭	⿰𤣩⿸广⿱肀口
瑮	⿰𤣩⿱覀木
瑯	⿰𤣩⿰阝
瑰	⿰𤣩鬼
瑱	⿰𤣩⿱⿱十八
瑲	⿰𤣩⿱⿱𠆢丶⿸口
瑳	⿰𤣩⿸羊工
瑴	⿹⿰⿳士冖一殳王
瑵	⿰𤣩⿱叉虫
瑶	⿰𤣩⿱爫缶
瑷	⿰𤣩⿳爫冖⿸𠂇又
瑸	⿰𤣩⿱宀⿱丘八
瑹	⿰𤣩⿱艹⿱亼朩
瑺	⿰𤣩⿱尚巾
瑻	⿰𤣩⿱毌貝
瑼	⿰𤣩⿱寸
瑽	⿰𤣩⿰彳⿱从龰
瑾	⿰𤣩堇
瑿	⿱⿰⿷匸矢殳玉
璀	⿰𤣩⿱山隹
璁	⿰𤣩匆
璂	⿰𤣩⿱其土
璃	⿰𤣩⿱㐫禸
璄	⿰𤣩⿱音儿
璅	⿰𤣩⿱巛果
璆	⿰𤣩翏
璇	⿰𤣩⿸㫃疋
璈	⿰𤣩⿰⿱龶勹攵
璉	⿰𤣩⿺辶車
璊	⿰𤣩㒼
璋	⿰𤣩⿱立⿱日十
璌	⿰𤣩寅
璍	⿰𤣩⿱艹
璎	⿰𤣩⿱⿰贝贝女
璏	⿰𤣩⿱彑⿰⿰匕矢匕
璐	⿰𤣩⿰𧾷⿱夂口
璑	⿰𤣩⿱灬
璒	⿰𤣩⿱癶豆
璓	⿰𤣩⿱艹⿱禾乃
璔	⿰𤣩⿱八⿱日
璕	⿰𤣩⿳彐⿰工口寸
璖	⿰𤣩⿱⿰氵巨木
璗	⿱⿰氵昜玉
璘	⿰𤣩粦
璙	⿰𤣩尞
璚	⿰𤣩⿱矛冏
璛	⿰𤣩肅
璜	⿰𤣩黄
璝	⿰𤣩⿱⿱中一貝
璞	⿰𤣩菐
璟	⿰𤣩⿱日⿳亠口小
璠	⿰𤣩⿱釆田
璡	⿰𤣩⿺辶隹
璢	⿰𤣩⿱丣田
璣	⿰𤣩⿹人
璤	⿰𤣩⿱心
璥	⿰𤣩⿰⿱艹⿹勹口攵
璦	⿰𤣩⿳爫冖⿱心夂
璧	⿱⿰⿸尸口辛玉
璨	⿰𤣩⿱⿰歺又米
璩	⿰𤣩⿸虍豕
璪	⿰𤣩喿
璫	⿰𤣩⿱尚田
璬	⿰𤣩⿰⿱白方攵
璭	⿰𤣩⿺辶⿱冖車
璮	⿰𤣩⿱⿱亠⿴囗口⿱日一
璯	⿰𤣩⿱亼⿱日
環	⿰𤣩睘
璱	⿰𤣩⿱⿰𤣩王必
璲	⿰𤣩⿺辶⿱八豕
璳	⿰𤣩⿱朱貝
璴	⿰𤣩⿱⿰木木疋
璵	⿰𤣩與
璶	⿰𤣩⿱⿳肀一灬皿
璷	⿰𤣩⿰⿱甫方攵
璸	⿰𤣩⿱⿱宀一⿸𣥂貝
璹	⿰𤣩⿳士乛⿳丅二⿰口寸
璺	⿱玉
璻	⿰𤣩⿱羽⿱亦十
璼	⿰𤣩⿱皿
璽	⿱爾玉
璾	⿰𤣩齊
瓀	⿰𤣩⿱雨而
瓁	⿰𤣩⿱⿱艹隹又
瓂	⿰𤣩⿱艹盍
瓃	⿰𤣩⿱田⿰田田
瓄	⿰𤣩⿱士⿱罒貝
瓅	⿰𤣩⿱⿲幺白幺木
瓆	⿰𤣩⿱⿰斤斤貝
瓇	⿰𤣩⿱⿱心夂
瓉	⿰𤣩⿱⿰夫夫貝
瓊	⿰𤣩⿳目攵
瓋	⿰𤣩⿺辶啇
瓌	⿰𤣩⿱⿱亠⿱罒𧘇
瓍	⿰𤣩⿰阝⿺辶⿱⿸𠂇工月
瓎	⿰𤣩⿰束⿱𠂊貝
瓏	⿰𤣩龍
瓐	⿰𤣩⿸⿸虍田皿
瓑	⿰𤣩⿸⿸厂⿰禾禾止
瓒	⿰𤣩⿱⿰先先贝
瓓	⿰𤣩⿵門柬
瓔	⿰𤣩⿱⿰貝貝女
瓕	⿱⿰弓爾玉
瓖	⿰𤣩⿳亠⿱吅⿻龷一𧘇
瓗	⿰𤣩⿱⿱山隹冏
瓘	⿰𤣩雚
瓙	⿰𤣩⿱⿳士乛⿳丅二⿰口寸灬
瓚	⿰𤣩⿱⿰先先貝
瓛	⿰𤣩⿰⿸虍鬲犬
瓝	⿺瓜勺
瓞	⿺瓜失
瓟	⿺瓜⿱勹巳
瓠	⿰⿱大亏瓜
瓡	⿰⿱土⿱丷干瓜
瓢	⿰⿱覀示瓜
瓣	⿴⿰辛辛瓜
瓤	⿰⿳亠⿱吅⿻龷一𧘇瓜
瓥	⿱⿰瓜豕⿰虫虫
瓧	⿺瓦十
瓨	⿰工瓦
瓩	⿺瓦千
瓪	⿺瓦⿸𠂆又
瓫	⿱⿱八刀瓦
瓬	⿰方瓦
瓭	⿰冘瓦
瓮	⿱公瓦
瓯	⿰⿷匸乂瓦
瓰	⿺瓦⿱八刀
瓱	⿺瓦毛
瓲	⿺瓦屯
瓳	⿰⿱十口瓦
瓴	⿰⿱⿱𠆢丶龴瓦
瓵	⿰⿱厶口瓦
瓶	⿰并瓦
瓷	⿱⿰冫欠瓦
瓸	⿺瓦百
瓹	⿰肙瓦
瓺	⿰镸瓦
瓻	⿰⿱乂⿸𠂇巾瓦
瓼	⿺瓦里
瓽	⿱尚瓦
瓾	⿰⿱禾女瓦
瓿	⿰咅瓦
甀	⿰垂瓦
甁	⿰幷瓦
甂	⿰⿸户𠕁瓦
甃	⿱⿰禾火瓦
甄	⿰⿱覀土瓦
甅	⿺瓦⿸厂里
甆	⿱⿱丷⿱一⿰幺幺瓦
甇	⿱⿱⿰火火冖瓦
甈	⿰⿱自木瓦
甉	⿰兼瓦
甊	⿰婁瓦
甋	⿰啇瓦
甌	⿰⿷匸⿱口吅瓦
甍	⿱⿱艹罒瓦
甎	⿰⿱寸瓦
甏	⿱⿰壴彡瓦
甐	⿰粦瓦
甑	⿰⿱八⿱日瓦
甒	⿰⿱灬瓦
甓	⿱⿰⿸尸口辛瓦
甔	⿰⿸厃⿱儿言瓦
甕	⿱⿱亠⿰乡隹瓦
甖	⿱⿰貝貝瓦
甗	⿰⿸虍鬲瓦
甙	⿹弋甘
甛	⿰甘舌
甜	⿰舌甘
甝	⿺虎甘
甞	⿱尚甘
甠	⿰日生
甡	⿰生生
產	⿱文⿸厂生
産	⿸产生
甤	⿺豕生
甥	⿰生⿱田力
甦	⿺更生
甧	⿱⿰生生月
甪	⿱丿用
甬	⿱龴用
甭	⿱不用
甮	⿱勿用
甯	⿱⿱宀心用
男	⿱田力
甸	⿹勹田
甹	⿱由丂
町	⿰田丁
画	⿱一⿶凵田
甼	⿱田丁
甽	⿰田川
甿	⿰田亡
畁	畀
畂	⿰田久
畃	⿰申勺
畄	⿱𭕄田
畅	⿰申𠃓
畆	⿰⿱亠田厶
畇	⿰田⿹勹冫
畈	⿰田⿸𠂆又
畉	⿰田夫
畊	⿰田井
畋	⿰田攵
界	⿱田⿱𠆢⿰丿丨
畍	⿰田⿱𠆢⿰丿丨
畎	⿰田犬
畏	⿳田一
畑	⿰火田
畒	⿰⿱亠田人
畓	⿱水田
畔	⿰田半
畕	⿱田田
畖	⿰田瓜
畗	⿱丶畐
畘	⿰田冉
留	⿱田
畚	⿱厶⿱大田
畛	⿰田㐱
畜	⿱玄田
畝	⿰⿱亠田久
畞	⿻十⿰田久
畟	⿱鬼夂
畠	⿱白田
畡	⿰田亥
畣	⿱⿱亼口田
畤	⿰田⿱士寸
略	⿰田⿱夂口
畦	⿰田⿱土土
畧	⿱田⿱夂口
畨	⿱米田
畩	⿰田衣
番	⿱釆田
畫	⿳聿田一
畬	⿱⿱亼朩田
畭	⿰田⿱亼朩
畮	⿰田⿱𠂉母
畯	⿰田夋
異	⿱田⿱龷八
畱	⿱丣田
畲	⿱⿱𠆢示田
畳	⿱田⿱冖且
畴	⿰田⿸丰寸
畵	⿱聿⿶凵田
當	⿱尚田
畷	⿰田叕
畸	⿰田⿱大⿹丅口
畹	⿰田⿱宀夗
畺	⿳⿱一田⿱一田一
畻	⿰田⿱龹土
畼	⿰田昜
畽	⿰田重
畾	⿱田⿰田田
畿	⿹田
疀	⿰甾疌
疁	⿰田翏
疂	⿳田⿱冖且
疃	⿰田⿱立里
疄	⿰田粦
疅	⿰田⿳⿱一田⿱一田一
疆	⿹⿰弓⿳⿱一田⿱一田一土
疇	⿰田⿳士乛⿳丅二⿰口寸
疈	⿲畐畐
疉	⿱⿱田⿰田田⿱宀彑
疊	⿱⿱田⿰田田⿱冖且
疍	⿱疋⿱日一
疎	⿰𤴔束
疏	⿰𤴔⿱𠫓川
疐	⿳十冖⿱田疋
疑	⿰⿱匕矢⿱龴疋
疓	⿸疒乃
疔	⿸疒丁
疕	⿸疒匕
疖	⿸疒⿱𠃌丨
疗	⿸疒了
疘	⿸疒工
疙	⿸疒乞
疚	⿸疒久
疛	⿸疒寸
疜	⿸疒下
疝	⿸疒山
疞	⿸疒亏
疟	⿸疒⿷匚一
疠	⿸疒万
疡	⿸疒𠃓
疢	⿸疒火
疣	⿸疒尤
疤	⿸疒巴
疥	⿸疒⿱𠆢⿰丿丨
疦	⿸疒夬
疧	⿸疒氏
疨	⿸疒牙
疩	⿸疒⿱九十
疪	⿸疒比
疫	⿸疒殳
疬	⿸疒⿸厂力
疭	⿸疒从
疮	⿸疒⿱𠆢㔾
疯	⿸疒风
疰	⿸疒主
疱	⿸疒⿱勹巳
疲	⿸疒皮
疳	⿸疒甘
疴	⿸疒⿹丅口
疵	⿸疒⿰止匕
疶	⿸疒世
疷	⿸疒氐
疸	⿸疒⿱日一
疹	⿸疒㐱
疺	⿸疒乏
疻	⿸疒⿱口八
疼	⿸疒⿱夂冫
疽	⿸疒且
疾	⿸疒矢
疿	⿸疒弗
痀	⿸疒⿹勹口
痂	⿸疒⿰力口
痃	⿸疒玄
痄	⿸疒乍
病	⿸疒丙
痆	⿸疒⿸尸匕
症	⿸疒正
痈	⿸疒用
痉	⿸疒⿱工
痊	⿸疒⿱𠆢王
痋	⿸疒虫
痌	⿸疒⿵⿵冂一口
痍	⿸疒夷
痎	⿸疒亥
痏	⿸疒⿸𠂇月
痐	⿸疒⿴囗口
痑	⿸疒⿱夕夕
痒	⿸疒羊
痓	⿸疒至
痔	⿸疒⿱士寸
痕	⿸疒艮
痖	⿸疒亚
痗	⿸疒⿱𠂉母
痘	⿸疒豆
痙	⿸疒巠
痚	⿸疒⿸耂子
痛	⿸疒⿱龴用
痜	⿸疒⿱禾几
痝	⿸疒⿺⿺尢彡丶
痞	⿸疒⿱不口
痟	⿸疒⿵⿱小⿵冂一一
痠	⿸疒夋
痡	⿸疒甫
痢	⿸疒⿰禾刂
痣	⿸疒⿱士心
痤	⿸疒⿱⿻十从一
痥	⿸疒⿱丷⿱口儿
痦	⿸疒⿱五口
痧	⿸疒⿰氵少
痨	⿸疒⿱⿱艹冖力
痩	⿸疒⿱申又
痪	⿸疒⿳𠂊冂大
痫	⿸疒⿵门木
痬	⿸疒⿱日勿
痭	⿸疒⿰月月
痮	⿸疒長
痯	⿸疒⿱宀㠯
痰	⿸疒⿱火火
痱	⿸疒非
痲	⿸疒⿰𣎳𣎳
痳	⿸疒⿰木木
痴	⿸疒⿰矢口
痵	⿸疒⿱禾子
痶	⿸疒典
痷	⿸疒⿱大电
痸	⿸疒⿰刂
痹	⿸疒畀
痺	⿸疒卑
痻	⿸疒⿱氏日
痼	⿸疒⿴囗⿱十口
痽	⿸疒隹
痾	⿸疒⿰阝⿹丅口
痿	⿸疒⿱禾女
瘁	⿸疒⿱亦十
瘂	⿸疒亞
瘃	⿸疒豖
瘄	⿸疒⿱龷日
瘅	⿸疒⿱丷⿻甲一
瘆	⿸疒⿳厶大彡
瘇	⿸疒重
瘈	⿸疒⿱⿰龶刀大
瘉	⿸疒⿱亼⿰月刂
瘊	⿸疒⿰亻⿱矢
瘋	⿸疒風
瘌	⿸疒⿰束刂
瘍	⿸疒昜
瘎	⿸疒甚
瘏	⿸疒⿸耂日
瘐	⿸疒臾
瘑	⿸疒咼
瘒	⿸疒⿱冖車
瘔	⿸疒⿱艹⿱十口
瘕	⿸疒叚
瘖	⿸疒音
瘗	⿸疒⿱夹土
瘘	⿸疒娄
瘙	⿸疒⿱叉虫
瘚	⿸疒⿰屰欠
瘛	⿸疒⿱⿰龶刀心
瘜	⿸疒⿱自心
瘝	⿸疒⿱罒
瘞	⿸⿸疒夾土
瘟	⿸疒昷
瘠	⿸疒⿱月
瘡	⿸疒⿱⿱𠆢丶⿸口
瘢	⿸疒⿰舟殳
瘣	⿸疒鬼
瘤	⿸疒⿱田
瘥	⿸疒⿸羊工
瘦	⿸疒⿶⿱臼又丨
瘧	⿸疒⿸虍⿷匚一
瘨	⿸疒⿱⿱十八
瘩	⿸疒⿱艹⿱亼口
瘪	⿸疒⿱自⿱𠆢㔾
瘫	⿸疒⿰又隹
瘬	⿸疒⿰弓長
瘭	⿸疒⿱覀示
瘮	⿸疒⿱⿱⿱厶⿰厶厶人彡
瘯	⿸疒⿸㫃矢
瘰	⿸疒⿱田糸
瘱	⿸疒⿱夾心
瘲	⿸疒⿰彳⿱从龰
瘳	⿸疒翏
瘴	⿸疒⿱立⿱日十
瘵	⿸疒⿱示
瘶	⿸疒⿰束欠
瘷	⿸疒⿰束攵
瘸	⿸⿸疒⿰力口肉
瘹	⿸疒⿰釒勺
瘺	⿸疒⿸尸雨
瘻	⿸疒婁
瘼	⿸疒⿱艹⿱日大
瘽	⿸疒堇
瘾	⿸疒⿰阝⿱⿱𠂊彐心
瘿	⿸疒⿱⿰贝贝女
癀	⿸疒黄
癁	⿸疒⿰彳⿱⿱𠂉日夂
療	⿸疒尞
癃	⿸疒⿰阝⿱夂⿱一生
癄	⿸疒⿱隹灬
癅	⿸疒⿱丣田
癆	⿸疒⿱⿱⿰火火冖力
癇	⿸疒⿵門月
癈	⿸疒⿱癶⿰弓殳
癉	⿸疒⿱吅⿻甲一
癊	⿸疒⿰阝⿱⿱⿱𠆢丶乛云
癋	⿸疒⿱亞心
癌	⿸疒⿱⿱口吅山
癍	⿸疒⿴⿰𤣩王文
癎	⿸疒⿵門日
癏	⿸疒睘
癐	⿸疒⿱亼⿱日
癑	⿸疒⿱曲辰
癒	⿸疒⿱⿱亼⿰月刂心
癓	⿸疒⿰彳⿰⿱山几攵
癔	⿸疒⿱音心
癕	⿸疒⿱亠⿰乡隹
癖	⿸疒⿰⿸尸口辛
癗	⿸疒⿱雨田
癘	⿸疒萬
癙	⿸疒鼠
癚	⿸疒⿸厃⿱儿言
癛	⿸疒⿱⿱亠⿴囗口禾
癜	⿸疒⿰⿸尸⿱龷八殳
癝	⿸疒⿱⿱亠⿴囗口示
癞	⿸疒⿰束⿱𠂊贝
癟	⿸疒⿱自侖
癠	⿸疒齊
癡	⿸疒⿰⿱匕矢⿱龴疋
癢	⿸疒⿱𦍌食
癣	⿸疒⿰鱼羊
癤	⿸疒⿱𥫗⿰卩
